show_id,title,director,rating,type,date_added,release_year,description
s6150,The Blue Umbrella,Vishal Bhardwaj,TV-PG,Movie,2018-08-02,2005,"A charming allegory based on a novella by Ruskin Bond, this visually stunning film from India explores themes of greed, loneliness, longing and loss."
s6151,The Body,Jeethu Joseph,TV-14,Movie,2020-02-21,2019,Mind games and mystery abound as a detective investigates the disappearance of a woman’s body from a morgue in this Hindi remake of a Spanish thriller.
s6152,The Body Remembers When the World Broke Open,"Elle-Máijá Tailfeathers, Kathleen Hepburn",TV-MA,Movie,2019-11-27,2019,"After a traumatic event, two Indigenous women in Vancouver are brought together and form a deep bond despite leading different lives."
s6156,The Book of Eli,"Albert Hughes, Allen Hughes",R,Movie,2019-07-01,2010,"Determined to protect a sacred text that promises to save humanity, Eli goes on a quest westward across the barren, postapocalyptic country."
s6157,The Book of Sun,Faris Godus,TV-14,Movie,2020-10-01,2020,"A high school senior sets out to make a no-budget horror film with his friend, one-time rival and teacher, but the project soon jeopardizes their future."
s6160,The Boss Baby: Get That Baby!,"Dan Forgione, Pete Jacobs, Matt Whitlock",TV-Y7,Movie,2020-09-01,2020,Think you've got what it takes to be the boss? This interactive special puts your skills to the test and matches you up with one of 16 jobs at Baby Corp.
s6161,The Boss's Daughter,Olivier Loustau,TV-MA,Movie,2017-03-10,2015,"While working together, a married textile foreman and his boss’s daughter have a torrid love affair, stirring up hostility among the factory crew."
s6163,The Bounty Hunter,Andy Tennant,PG-13,Movie,2019-10-01,2010,"Bounty hunter Milo Boyd finds his latest assignment downright satisfying as he learns that the bail-jumper he must chase down is his ex-wife, Nicole."
s6164,The Box,Richard Kelly,PG-13,Movie,2019-06-01,2009,A couple must decide whether to push a button that will net them a million dollars but that will also cause the death of a complete stranger.
s6165,The Boy,William Brent Bell,PG-13,Movie,2020-06-01,2016,A nanny is hired by a couple to look after their boy. She's shocked to learn that her charge is actually a doll that the couple treats like a human.
s6166,The Boy in the Striped Pajamas,Mark Herman,PG-13,Movie,2019-01-01,2008,"When his family moves from Berlin to Poland, a young boy befriends a boy who lives on the other side of the fence, unaware he''s a Jewish prisoner."
s6167,The Boy Who Cried Werewolf,Eric Bross,TV-Y,Movie,2019-11-02,2010,"When high school girl-geek Jordan becomes a werewolf after moving to Romania, she must elude her own brother, who sets out to slay her."
s6168,The Boy Who Harnessed the Wind,Chiwetel Ejiofor,TV-PG,Movie,2019-03-01,2019,"Inspired by a science book, 13-year-old William Kamkwamba builds a wind turbine to save his Malawian village from famine. Based on a true story."
